cluster_id,business_name,sector,post_type,caption_text,likes_count,comments_count,views_count,engagement_rate,view_rate,CTA_present,promo_post,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style
3,Jumbo Supermarket,Supermarkets,reel,الطازة عنا عنوان، والنظافة عنا أساس 🐔👌 دجاج فرش كل يوم بيومه 🔥,28.0,1,2674,0.005242227,0.4833694866,0,1,0,0,0,1
3,Vanilla Palestine,Cafes/Restaurants,reel,No no no Wait wait wait🤭🤣 إذا كان عن تجربتكم مع فرنش توست فانيلا 😍😋 🍞⏳ بالخبز الفرنسي المصنوع في مخبز فانيلا #فانيلا_اليوم_وكل_يوم #frenchtoast #vanilla #bakery,665.0,30,137000,0.005,0.9856115108000001,0,1,0,0,0,1
3,Vanilla Palestine,Cafes/Restaurants,reel,المشكلة الوحيدة انها بتخلص بسرعة 😊 فانيلا اليوم وكل يوم... #Macaroons #vanilla,200.0,200,238000,0.0045819015,2.7262313860000003,0,1,0,0,0,1
3,Vanilla Palestine,Cafes/Restaurants,reel,SanSebastian Cheesecake 🤤😋 تنتقل الى عالم آخر بمجرد البدء بسكب الكراميل على سان سيباستيان تشيزكيك 🤤🤍 #سانسيباستيان #cheesecake #sansebastian #VANILLA #Today_and_Everyday #فانيلا_اليوم_وكل_يوم,561.0,13,136000,0.0041294964,0.9784172662,0,1,0,0,0,1
3,Vanilla Palestine,Cafes/Restaurants,reel,Delicious & Healthy 😍 Homemade Hot Apple Cider 🍏🍋 #vanilla_today_and_everyday,176.0,180,144000,0.0040778923,1.6494845361000001,0,1,0,0,0,1
3,Shamsboutique,Fashion,reel,"أطقم ب سووت بجننو كتير ناعمين 🌸
متوفرين ب 6 ألوان عرض أقل",3.0,0,1200,0.0040595399,1.6238159675000001,0,1,0,0,0,1
3,aburob,Influencers,reel,😂 كثير تعبنا بالتنظيف بعد الفيديو,22000.0,1130,1500000,0.0040578947,0.2631578947,0,1,0,0,0,1
3,KOTON Palestine,Fashion,reel,اني اكثر لبسة حبيتوها؟😍✨ outfitoftheday #fashion #grwmoutfit# #كوتون #koton#,162.0,0,1313,0.0026256078,0.021280389,0,1,0,0,0,1
3,Vanilla Palestine,Cafes/Restaurants,reel,فيريرو كيك 🍫,316.0,5,344000,0.0023093525,2.4748201439,0,1,0,0,0,1
3,KFC Palestine,Cafes/Restaurants,reel,الصاحب الصح: اللي ما بحكي لا لدجاج كنتاكي 😆,118.0,7,127000,0.0020868114,2.1202003339,0,1,0,0,0,1
3,Jumbo Supermarket,Supermarkets,reel,✨🛡💪 اختاري المكان والتعقيم على StarX #لنظافة_المنزل #تعقيم #ثقة #جمالية starx,7.0,2,1531,0.001626898,0.2767534346,0,1,0,0,0,1
3,Balcon Boutique & Cafe,Fashion,reel,RaaQ راقِ لا عليك,343.0,0,43900,0.0014115226000000001,0.1806584362,0,1,0,0,0,1
3,Ghazala__store غزالة ستور,Fashion,reel,صباحك أنيق بالفستان الكلاسيكي الأسود ✨,3.0,1,652,0.0012903226,0.2103225806,0,1,0,0,0,1
3,Ghazala__store غزالة ستور,Fashion,reel,اللون الملوكي والفخامة مع بعض 🌺,3.0,1,355,0.0012903226,0.11451612900000001,0,1,0,0,0,1
3,Ghazala__store غزالة ستور,Fashion,reel,الواحد لازم يختار الفستان المناسب 🤍,3.0,1,792,0.0012903226,0.25548387100000003,0,1,0,0,0,1
3,Vanilla Palestine,Cafes/Restaurants,reel,😋 قطعها..غرفها..غمسها.. فوكاشا من فانيلا صنعت بحب 🥰 Focaccia #FreshlyBaked #yummy #Breakfast #VANILLA #VANILLA_Today_and_everyday #فانيلا #فانيلا_اليوم_وكل_يوم,157.0,1,108000,0.0011366906,0.7769784173000001,0,1,0,0,0,1
3,MAS CO,Fashion,reel,تربيع 2026 الأفضل والأروع,5.0,0,142,0.0010416667000000001,0.0295833333,0,1,0,0,0,1
3,Ronza Elegant,Fashion,reel,العظم الي وصل تكرر وصار أوت أوف ستوك من أول ساعة باللون الأسود هلا موجود اللون الكحلي والعسلي صبايا,11.0,0,455,0.0007857143000000001,0.0325,0,1,0,0,0,1
3,MAS CO,Fashion,reel,مجموعة جديدة 💕💕💕,3.0,0,142,0.000625,0.0295833333,0,1,0,0,0,1
3,MAS CO,Fashion,reel,هاي بس الك ❤️❤️,2.0,1,142,0.000625,0.0295833333,0,1,0,0,0,1
3,Ronza Elegant,Fashion,reel,وصل جديد وصل الراقي والأجمل خليكم متحمسين معنا اليوم لتشوفوا أحلى وأرقى كولكشن حاليا في رونزا إليجنت,8.0,0,348,0.0005714286,0.0248571429,0,1,0,0,0,1
3,Supermarket 25st,Supermarkets,reel,رجع الشتا ورجعت الأجواء الشتوية 🌧️💭❤️ #بك #اكسبلور,5.0,0,717,0.0005188875000000001,0.07440846820000001,0,1,0,0,0,1
3,Vanilla Palestine,Cafes/Restaurants,reel,#فانيلا_اليوم_وكل_يوم,54.0,7,198000,0.0004388489,1.4244604317,0,1,0,0,0,1
3,Grand Stores Mall,Fashion,reel,الرجالي ٥٠ شيكل الولادي ٤٠ شيكل متوفر داخل جميع الفروع,17.0,0,1569,0.0003953488,0.0364883721,0,1,0,0,0,1
3,Wakeup coffee,Cafes/Restaurants,reel,New At Wakeup Premium Cold Sandwiches 🔥 لأنه الموظف المثالي بحاجة لسندويش بارد مثالي 😌💕,5.0,1,831,0.0003333333,0.046166666700000004,0,1,0,0,0,1
3,Supermarket 25st,Supermarkets,reel,ترند سلامتك محلي بعمانك 🔥🔥🔥 #اكسبلور #ترند,3.0,0,1867,0.0003113325,0.1937525944,0,1,0,0,0,1
3,REXOS Café & Restaurant,Cafes/Restaurants,reel,الهروب المثالي من جو الصيف، مشروب منعش من Rexos 🌞🔥 خصوصاً لما يكون مع حركة وبرودة كفيلة تغيّر مودك كله ❄️,8.0,0,829,0.0001904762,0.0197380952,0,1,0,0,0,1
3,Wakeup coffee,Cafes/Restaurants,reel,موهيتو مانجو بنكهة ما بتتوقعها 🥭 حلوة لدرجة آه رح تصير: أكيد آه 🔥,3.0,0,717,0.00016666670000000001,0.0398333333,0,1,0,0,0,1
3,Vanilla Palestine,Cafes/Restaurants,reel,كفوفك كفوفك! #vanillabakery #فانيلا_اليوم_وكل_يوم,23.0,0,662000,0.0001654676,4.7625899281,0,1,0,0,0,1
3,Ronza Elegant,Fashion,reel,وصل جديد وصل الرقّي والجمال خلّيكم متحمسين معنا اليوم لتشوفوا أحلى وأرقى كولكشن حاليا في رونزا إليجنت,2.0,0,320,0.0001428571,0.022857142900000002,0,1,0,0,0,1
3,Wakeup coffee,Cafes/Restaurants,reel,قسم ال Cold Sandwiches الجديد يستاهل تهرب من المحاضرة عشانه 😌💕,2.0,0,526,0.00011111110000000001,0.029222222200000002,0,1,0,0,0,1
3,Orgada Burgers,Cafes/Restaurants,post,الفخامة مش بس اسم… الفخامة طعم وتفاصيل ❤️🍄 استمتع بقطعة لحم مشوية 150g مع المشروم الفريش وصوص المشروم الأبيض الغني، مغطاة بجبنة الموزاريلا. كل لقمة من Mushroom White Beef هي حكاية لحالها! #burgers,11.0,2,12000,7.97546e-05,0.0736196319,0,1,0,0,0,1
3,Wakeup coffee,Cafes/Restaurants,reel,ال Cold Sandwiches بالقسم الجديد الاطفال كمان رح يحبوهم كثير 😍,1.0,0,516,5.55556e-05,0.028666666700000003,0,1,0,0,0,1
