min_support,min_confidence,min_lift,max_antecedent_len,frequent_itemsets_count,valid_rules_before_filtering,final_rule_count,high_view_rate_rule_count,avg_lift,max_lift,avg_confidence,max_confidence,avg_confidence_lower_bound,max_confidence_lower_bound
0.02,0.5,1.2,1,139,111,18,6,2.370140140054532,2.9583333333333335,0.7392967372134039,1.0,0.34884926262562665,0.5699064013154177
0.02,0.5,1.5,1,139,111,17,6,2.43755203470277,2.9583333333333335,0.7533730158730159,1.0,0.35833376002128653,0.5699064013154177
0.03,0.4,1.0,1,95,90,15,4,2.1015244899045187,2.5885416666666665,0.6767857142857142,0.8749999999999999,0.3684579323235868,0.5699064013154177
0.02,0.4,2.0,1,139,122,14,4,2.5607444019274377,2.9583333333333335,0.8036989795918367,1.0,0.3842348294486099,0.5699064013154177
0.02,0.5,2.0,1,139,111,14,4,2.5607444019274377,2.9583333333333335,0.8036989795918367,1.0,0.3842348294486099,0.5699064013154177
0.02,0.6,1.0,1,139,85,14,4,2.5607444019274377,2.9583333333333335,0.8036989795918367,1.0,0.3842348294486099,0.5699064013154177
0.02,0.6,1.2,1,139,85,14,4,2.5607444019274377,2.9583333333333335,0.8036989795918367,1.0,0.3842348294486099,0.5699064013154177
0.02,0.6,1.5,1,139,85,14,4,2.5607444019274377,2.9583333333333335,0.8036989795918367,1.0,0.3842348294486099,0.5699064013154177
0.02,0.6,2.0,1,139,85,14,4,2.5607444019274377,2.9583333333333335,0.8036989795918367,1.0,0.3842348294486099,0.5699064013154177
0.03,0.4,1.2,1,95,90,14,4,2.173910338800271,2.5885416666666665,0.6933815192743765,0.8749999999999999,0.37267727852595794,0.5699064013154177
0.03,0.4,1.5,1,95,90,13,4,2.246969754782255,2.5885416666666665,0.7082570207570208,0.8749999999999999,0.3869130071126156,0.5699064013154177
0.03,0.5,1.0,1,95,79,13,3,2.2197666896481554,2.5885416666666665,0.7159493284493285,0.8749999999999999,0.38242907354635214,0.5699064013154177
0.03,0.5,1.2,1,95,79,13,3,2.2197666896481554,2.5885416666666665,0.7159493284493285,0.8749999999999999,0.38242907354635214,0.5699064013154177
0.03,0.5,1.5,1,95,79,12,3,2.3027357528659613,2.5885416666666665,0.7339451058201059,0.8749999999999999,0.3986637624335974,0.5699064013154177
0.05,0.4,1.0,3,158,682,57,1,2.6351573828008723,2.9583333333333335,0.8897626009468115,1.0,0.48881688159011094,0.6755843804891231
0.05,0.4,1.2,3,158,682,56,1,2.6627830038265308,2.9583333333333335,0.8977147108843537,1.0,0.4920209850918916,0.6755843804891231
0.05,0.4,1.5,3,158,682,56,1,2.6627830038265308,2.9583333333333335,0.8977147108843537,1.0,0.4920209850918916,0.6755843804891231
0.05,0.4,1.0,2,125,306,34,1,2.5442563196255517,2.9583333333333335,0.8583625116713351,1.0,0.48688419416207473,0.6755843804891231
0.05,0.4,1.2,2,125,306,33,1,2.588381583694084,2.9583333333333335,0.8709054834054833,1.0,0.492262894424853,0.6755843804891231
0.05,0.4,1.5,2,125,306,33,1,2.588381583694084,2.9583333333333335,0.8709054834054833,1.0,0.492262894424853,0.6755843804891231
0.05,0.4,1.0,1,69,66,10,1,2.1768868306422187,2.5885416666666665,0.7301785714285715,0.8749999999999999,0.4432674579504104,0.5699064013154177
0.05,0.4,1.2,1,69,66,9,1,2.2978606334509113,2.5885416666666665,0.7619268077601411,0.8749999999999999,0.45814305489041257,0.5699064013154177
0.05,0.4,1.5,1,69,66,9,1,2.2978606334509113,2.5885416666666665,0.7619268077601411,0.8749999999999999,0.45814305489041257,0.5699064013154177
0.03,0.4,2.0,1,95,90,9,1,2.4494295634920635,2.5885416666666665,0.8057539682539683,0.8749999999999999,0.4523976490135374,0.5699064013154177
0.03,0.5,2.0,1,95,79,9,1,2.4494295634920635,2.5885416666666665,0.8057539682539683,0.8749999999999999,0.4523976490135374,0.5699064013154177
0.03,0.6,1.0,1,95,60,9,1,2.4494295634920635,2.5885416666666665,0.8057539682539683,0.8749999999999999,0.4523976490135374,0.5699064013154177
0.03,0.6,1.2,1,95,60,9,1,2.4494295634920635,2.5885416666666665,0.8057539682539683,0.8749999999999999,0.4523976490135374,0.5699064013154177
0.03,0.6,1.5,1,95,60,9,1,2.4494295634920635,2.5885416666666665,0.8057539682539683,0.8749999999999999,0.4523976490135374,0.5699064013154177
0.03,0.6,2.0,1,95,60,9,1,2.4494295634920635,2.5885416666666665,0.8057539682539683,0.8749999999999999,0.4523976490135374,0.5699064013154177
